product_id,name,full_name,brand,industry,chemistry,description,image,applications,benefits,sizing
FRP,"FRP – HYBRID POLYMER ROLLABLE FRP ADHESIVE","FRP – HYBRID POLYMER ROLLABLE FRP ADHESIVE",forza_bond,construction_industry,MS,"ForzaBOND™ FRP Modified Silane Rollable Flooring Adhesive",https://forzabuilt.com/wp-content/uploads/2023/12/FRP-Rollable-Adhesive-v2.png,"The FRP modified silane rollable flooring adhesive is a high-performance adhesive that is specifically designed to bond a variety of substrates, including metal flooring, plywood, and vinyls.; This adhesive is ideal for use in refrigerated and walk-in coolers, as it is able to withstand the extreme temperatures and conditions found in these environments.","Excellent bonding properties to a variety of substrates, including metal flooring, plywood, and vinyls; Can be used in refrigerated and walk-in coolers; Can withstand extreme temperatures and conditions; High solids content for excellent coverage and reduced shrinkage; Easy to apply and rollable; Tack-free time of 2-4 hours; Short cure time of 24-48 hours; High shear and peel strength for maximum durability","28 oz; 20 oz; 5 Gallon; 55 Gallon"
I1000,"I1000 – LOW-MEDIUM VISCOSITY LAMINATING ADHESIVE","I1000 – LOW-MEDIUM VISCOSITY LAMINATING ADHESIVE",forza_bond,insulation_industry,,"ForzaBOND™ I1000 is a low/medium viscosity resin adhesive formulated to bond insulation and fibrous substrates.",https://forzabuilt.com/wp-content/uploads/2023/12/I1000_Tote.png,"For use in operations such as faced insulation manufacturing.; Quick tack laminating.","Fast drying.; Excellent fiber-tearing bonds.; Excellent coverage – 600 sq ft per gallon.; Strong and durable bond.; UL723 Certification","5 Gallon Pail; 52 Gallon Drum; Tote"
R529,"R529 – STRUCTURAL ANCHORING EPOXY","R529 – STRUCTURAL ANCHORING EPOXY",forza_bond,construction_industry,Epoxy,"ForzaBOND™ R529 anchor system is a pure epoxy mortar with ETA-option 1 approval, for use in cracked and untracked concrete and is approved to the highest international standards.",https://forzabuilt.com/wp-content/uploads/2023/12/R529-Structural-Adhesive-.png,"R529 is a two-component high-strength epoxy adhesive anchoring system designed for bonding steel elements or post-installing reinforcement bars to cracked and untracked concrete.; Ideal for installation in dry, wet and water filled holes; Approved for overhead applications; Approved for diamond drilled holes for C20 to C60 concrete","Fast Curing Times.; Long Shelf Life – 24 month shelf life for longevity.; Extensive Range – Wide range of steel element diameter and embedment depths.; Easy to Use – Simple installation with low odour formula and long working times.; ETA Option 1 approved","Cartridge; 2 Component; More upon request"
S228,"S228 – TAPE PRIMER AND ADHESION PROMOTER","S228 – TAPE PRIMER AND ADHESION PROMOTER",forza_bond,transportation_industry,,"ForzaBOND™ S228 is a primer to increase adhesive performance.",https://forzabuilt.com/wp-content/uploads/2023/12/S228-paintcan-mockup.png,"Increases adhesion with high bond tapes and other adhesives.; Improves adhesion on polyethylene, polypropylene, glass, metal and painted surfaces.","Increases adhesive performance on polyethylene, polypropylene and TPR; Also useful on other plastics, rubber & metals; Removes grease and oils to promote adhesion","1 Quart; 1 Gallon; 5 Gallon"
T350,"T350 – THERMAL BREAK TAPE","T350 – THERMAL BREAK TAPE",forza_tape,insulation_industry,,"ForzaTAPE™ T350 is a polyethylene foam tape coated with high-tack rubber adhesive.",https://forzabuilt.com/wp-content/uploads/2023/06/T600-Foam-Bonding-Tape.png,"Excellent adhesion; High impact resistance and noise reduction, reducing vibration.","The polyethylene foam tape is coated with a high tack rubber adhesive, ensuring a strong and immediate bond upon application.; This adhesive offers exceptional gripping power, making it perfect for applications where secure adhesion is crucial.; The polyethylene foam provides excellent cushioning and impact resistance, protecting surfaces from damage and reducing noise and vibration.; The foam tape is designed for easy and hassle-free application.; The combination of polyethylene foam and high tack rubber adhesive results in a durable and reliable tape. It can withstand various environmental conditions, including temperature changes, moisture, and UV exposure, without losing its adhesive properties or degrading over time.",".18 x 3 x 1000; .125 x 3 x 100; .25 x 3 x 100; .125 x 2 x 100; .25 x 3 x 50"
T461,"T461 – HOT-MELT TRANSFER TAPE","T461 – HOT-MELT TRANSFER TAPE",forza_tape,insulation_industry,Hotmelt,"ForzaTAPE™ T461 is an extremely aggressive synthetic rubber transfer tape.",https://forzabuilt.com/wp-content/uploads/2023/06/T461-Hot-Melt-Transfer-Tape.png,"Used for mounting trim and insulation panels; Used for fixing edging, signs, decorative edging and panels","Synthetic rubber transfer tape offers excellent adhesion to a wide range of surfaces, including plastics, metals, glass, and more.; Effectively bond different materials together, making it a versatile option for various applications.; The synthetic rubber used in transfer tape provides a strong and reliable bond, ensuring that the joined surfaces stay securely in place. This is particularly beneficial for applications that require long-lasting adhesion.; Synthetic rubber transfer tape is designed to withstand both high and low temperatures.",".75″ x 100′; 1″ x 100′"
T600,"T600 – FOAM GASKETING TAPE","T600 – FOAM GASKETING TAPE",forza_tape,construction_industry,,"ForzaTAPE™ T600 is a low-density foam reverse-wound thermal break tape.",https://forzabuilt.com/wp-content/uploads/2023/06/T600-Foam-Bonding-Tape.png,"Used in applications requiring a seal for tight radius curves","3/16″ Thick Foam; Low density foam; Remains pliable at temperatures of -20°C to 82°C; Excellent fungi, oxidization and weather resistance","2″ x 100′; 2″ x 75″"
T715,"T715 – COLD TEMP DOUBLE COATED TAPE","T715 – COLD TEMP DOUBLE COATED TAPE",forza_tape,insulation_industry,,"ForzaTAPE™® T715 is a double-coated hybrid rubber based tape that bonds exceptionally well in cold, and wet conditions.",https://forzabuilt.com/wp-content/uploads/2023/06/T715-High-Performance-Double-Coated-Tape-mockup.png,"Bonds paper and corrugate materials, including wax coated corrugate; Bonds many foams including XLPE, EPDM, EVA and polyurethane foams; Bonds LSE materials, plastics and metals; Packaging, freezer, insulation & sound dampening, laminating, and general purpose","Works exceptionally well in cold weather; Provides strong bond to cold or damp surfaces; Performs well on LSE materials; Good cohesive strength; High initial tack; Excellent peel and shear; Bonds a wide variety of substrates",".75 x 180; 1.5 x 180; 1.5 x 1800; 5.9 x 60 x 180; 5.9 x 60 x 400"
T900,"T900 – BUTYL TAPE","T900 – BUTYL TAPE",forza_tape,composites_industry,Rubber Based,"ForzaTAPE™ T900 is compounded to meet pre-engineered metal building specifications. The material is soft, resilient and easily worked by hand, yet adheres instantly to most uncleaned surfaces.",https://forzabuilt.com/wp-content/uploads/2023/06/T900-Butyl-Adhesive-Tape.png,"T900 has outstanding webbing and elongation properties along with excellent adhesion to glass, plastic (but not plasticized PVC), polyethylene, galvanized aluminum, galvalume, siliconized polyester, polyurethane and polyvinyl fluoride painted substrates.; Preformed butyl tapes allow the erector precise control of volume and sealant placement on roof laps, end laps and side laps of metal buildings.","soft, resilient and easily worked by hand, yet adheres instantly to most uncleaned surfaces.; has excellent weathering characteristics while retaining adhesion and elasticity in both hot and cold environments.; is chemically inert and is non-corrosive to paint, metal, aluminum, copper, plastic and will not swell rubber.","Sizing available upon request."
T950,"T950 – FSK BONDING TAPE","T950 – FSK BONDING TAPE",forza_tape,insulation_industry,,"ForzaTAPE™ T950 is a foil/scrim/kraft (FSK) lamination coated with a cold weather solvent acrylic pressure sensitive adhesive. This tape is a FSK 2.5” disc version of 1525CW.",https://forzabuilt.com/wp-content/uploads/2023/06/T464-Transfer-Tape.png,"Sealing applications for fibrous ductboard, FSK-faced duct wrap and sheet metal ducts.; Vapor seal for reinforced aluminum faced fiberglass or mineral wool thermal insulation.","Cold weather adhesive performs well over a wide temperature range; Excellent performance in demanding heat and humidity conditions; Conforms well to irregular surfaces","Sizing available upon request"
T970,"T970 – FOIL BONDING TAPE","T970 – FOIL BONDING TAPE",forza_tape,insulation_industry,,"ForzaTAPE™ T970 combines a 3 mil nominal dead soft aluminum foil backing with a transparent acrylic adhesive.",https://forzabuilt.com/wp-content/uploads/2023/06/T461-Hot-Melt-Transfer-Tape.png,"Aircraft paint stripping maskant.; Moisture barrier in “white goods” appliances.; General purpose heat reflector and heat dissipater.; Mechanically hold wires and cooling coils in “white goods” appliances.; Repair tears on truck trailers and aircraft.; Splicing of thin gauge foils.; General purpose holding, patching, sealing applications – indoors and out.","Flame resistant. Meets U.L. 746C (File E 122798) and 723, Class “L” low flammability rating (File R 7311).; Forza aluminum foil tape 425 can be certified to meet L-T-80C.; Meets requirements of FAR 25.853(a).; The very low moisture vapor transmission rate makes these tapes a good sealant.; The acrylic adhesive, combined with the durable aluminum backing, offers ideal properties for long serviceable life in and outdoors.; Good candidate as a maskant in electroplating of aluminum because it will not contaminate the bath.; Aluminum backing provides excellent reflection of both heat and light.; Best results obtained when applied to a clean, dry surface above 32°F (0°C).","3.5″; Custom Sizing Available"
C150,"C150 – CA COMPLIANT CONTACT ADHESIVE","C150 – CA COMPLIANT CONTACT ADHESIVE",forza_bond,industrial_industry,,"ForzaBOND™ C150 is a quick tack, sprayable adhesive formulated for bonding polystyrene foam to itself and various other substrates.",https://forzabuilt.com/wp-content/uploads/2023/12/C150-CA-COMPLIANT-HIGH-SOLIDS-CONTACT-ADHESIVE.png,"Bonds polystyrene foam to itself and many other substrates; Used in refrigerator and freezer applications to bond foam on interior, non-load bearing sandwich panels; Used to bond precut foam to cardboard in fabrication of insulated shipping cartons; Used for preformed pipe insulation and the bonding of foam on prefabricated pump houses, animal shelters and farm waterers","Quick tack; Prevents attack of polystyrene foam, yet still creates a strong contact-like bond to many substrates; Excellent water and moisture resistance","1 Gallon Pail; 5 Gallon Pail; 55 Gallon Drum"